working,http_status,curl_exit_code,link_type,url,clean_url,final_url,occurrences,first_base_product,first_suggestion_rank,first_suggestion,checked_at,error
yes,200,0,base_product_url,https://homefans.com/product/experience-a-partizan-home-game-in-belgrade/,https://homefans.com/product/experience-a-partizan-home-game-in-belgrade/,https://homefans.com/product/experience-a-partizan-home-game-in-belgrade/,1,Partizan Belgrade Matchday Exp…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/experience-ac-milan-live-at-san-siro/,https://homefans.com/product/experience-ac-milan-live-at-san-siro/,https://homefans.com/product/experience-ac-milan-live-at-san-siro/,1,Experience San Siro like a tru…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/experience-celtic-live-at-celtic-park-paradise/,https://homefans.com/product/experience-celtic-live-at-celtic-park-paradise/,https://homefans.com/product/experience-celtic-live-at-celtic-park-paradise/,1,Celtic Matchday Experience,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/experience-fenerbahce-basketball-in-ulker-arena/,https://homefans.com/product/experience-fenerbahce-basketball-in-ulker-arena/,https://homefans.com/product/experience-fenerbahce-basketball-in-ulker-arena/,1,Fenerbahçe Basketball Matchday…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/experience-millwall-live-at-the-den/,https://homefans.com/product/experience-millwall-live-at-the-den/,https://homefans.com/product/experience-millwall-live-at-the-den/,1,Millwall Matchday Experience a…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/experience-teotihuacan-from-the-skies-lunch-at-a-unique-football-spot/,https://homefans.com/product/experience-teotihuacan-from-the-skies-lunch-at-a-unique-football-spot/,https://homefans.com/product/experience-teotihuacan-from-the-skies-lunch-at-a-unique-football-spot/,1,Experience Teotihuacán from th…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/extra-night-single/,https://homefans.com/product/extra-night-single/,https://homefans.com/shop/,1,Extra Night (Single Room),,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/extra-night-stay/,https://homefans.com/product/extra-night-stay/,https://homefans.com/shop/,1,Extra Night Stay,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/extra-night-twin-room/,https://homefans.com/product/extra-night-twin-room/,https://homefans.com/shop/,1,Hotel Extra Nights (Twin),,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/extra-night/,https://homefans.com/product/extra-night/,https://homefans.com/shop/,1,Extra Night,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/fc-barcelona-museum-tour-with-tapas/,https://homefans.com/product/fc-barcelona-museum-tour-with-tapas/,https://homefans.com/product/fc-barcelona-museum-tour-with-tapas/,1,FC Barcelona Museum Tour with…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/fc-tirana-matchday-in-tirana-and-explore-the-city/,https://homefans.com/product/fc-tirana-matchday-in-tirana-and-explore-the-city/,https://homefans.com/product/fc-tirana-matchday-in-tirana-and-explore-the-city/,1,FC Tirana Matchday in Tirana a…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/fc-utrecht-matchday-and-old-town-utrecht-experience/,https://homefans.com/product/fc-utrecht-matchday-and-old-town-utrecht-experience/,https://homefans.com/product/fc-utrecht-matchday-and-old-town-utrecht-experience/,1,FC Utrecht matchday experience,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/fenerbahce-matchday-experience/,https://homefans.com/product/fenerbahce-matchday-experience/,https://homefans.com/product/fenerbahce-matchday-experience/,2,Fenerbahçe Matchday Experience,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/fifa-street-football-court-experience-favela-tour/,https://homefans.com/product/fifa-street-football-court-experience-favela-tour/,https://homefans.com/product/fifa-street-football-court-experience-favela-tour/,1,FIFA Street football court exp…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/flamengo-game-experience-red-black-passion/,https://homefans.com/product/flamengo-game-experience-red-black-passion/,https://homefans.com/product/flamengo-game-experience-red-black-passion/,1,Flamengo Game Experience - Tra…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/flamengo-live-at-maracana-stadium/,https://homefans.com/product/flamengo-live-at-maracana-stadium/,https://homefans.com/product/flamengo-live-at-maracana-stadium/,1,Watch Flamengo at Maracanã: Ti…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/flamengo-match-day-experience-tour/,https://homefans.com/product/flamengo-match-day-experience-tour/,https://homefans.com/product/flamengo-match-day-experience-tour/,1,⭐ Best Rated | Flamengo Matchd…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/flamengo-matchday-experience-2/,https://homefans.com/product/flamengo-matchday-experience-2/,https://homefans.com/product/flamengo-matchday-experience-2/,1,Flamengo Matchday Adventure -…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/flamengo-matchday-experience/,https://homefans.com/product/flamengo-matchday-experience/,https://homefans.com/product/flamengo-matchday-experience/,1,Flamengo Matchday Experience (…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/flamengo-matchday-premium-seats-by-the-pitch-with-food-drinks-included/,https://homefans.com/product/flamengo-matchday-premium-seats-by-the-pitch-with-food-drinks-included/,https://homefans.com/product/flamengo-matchday-premium-seats-by-the-pitch-with-food-drinks-included/,1,Flamengo Matchday: Premium Sea…,,,2026-04-20 America/Los_Angeles,
yes,200,0,base_product_url,https://homefans.com/product/flamengo-replica-shirt/,https://homefans.com/product/flamengo-replica-shirt/,https://homefans.com/shop/,1,Flamengo Replica Shirt,,,2026-04-20 America/Los_Angeles,
